om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,fc,date_tim,hour,year,length,width,cas,area_pth,ma,ed,id,total_pp,total_ml,ml_und18,ml18t44,ml45t64,ml_ovr65,totl_fml,fml_un18,fml1844,fml4564,fml_ov65,white,black,ttl_hsn_u,mobl_hms,mdn_incm,pop_d,pop_under18,pop18to44,pop45to64,PopOver65
218,1995,4,"25",1995/04/25,12:38:00,3,ID,16,1,0,1,0,5,0,43.2,-112.38,43.2001,-112.3799,0.2,50,0,1995/04/25 17:38:00+00,12,1995,321.868,35.9084040305313,1,11557.7661884991,Apr,444516863.68447,23,0.081498729403409,0.040731126562931,0.015124953226573,0.014377243153618,0.007614525954365,0.003121974481478,0.040767602840479,0.015681502415322,0.014641499570992,0.007541108720536,0.003395921880525,0.073554505042655,9.119069387e-05,0.026473021095889,0.007758804688991,59189.9675,7.05142568851298,0.030806455641895,0.02901874272461,0.015155634674901,0.006517896362003
221,1995,4,"30",1995/04/30,15:57:00,3,FL,12,15,0,3,0,4,0,26.23,-80.12,26.2301,-80.1199,0.1,10,0,1995/04/30 20:57:00+00,15,1995,160.934,7.18168080610627,3,1155.77661884991,Apr,44451686.368447,24,0.283189534236074,0.140036683286296,0.019703871225207,0.061805303665188,0.032913857744333,0.024950271336301,0.143152850949778,0.022901019499721,0.058265657479011,0.032410912715171,0.030238640571142,0.255743312108112,0.017050681164702,0.165570290018639,2.0102403493e-05,50056.1705,245.020992480252,0.042604890724928,0.120070961144199,0.065324770459504,0.055188911907443
232,1995,5,"07",1995/05/07,00:40:00,3,TX,48,58,2,12,1,5,0,34.98,-102,35.17,-101.87,12,200,0,1995/05/07 05:40:00+00,0,1995,19312.08,143.633616122125,13,2773863.88523977,May,182876946931.539,25,1244.69065726072,597.865674125236,149.907317580292,264.326930463717,122.291272583658,70.0074518352207,646.824983135484,146.284683551455,277.868849292762,127.614687647261,86.3894643063542,1147.84332881053,20.8553421448062,573.779895242814,15.5205878025296,64552.3783502666,448.720884930202,296.192001131747,542.195779756479,249.905960230919,156.396916141575
240,1995,5,"07",1995/05/07,15:10:00,3,TX,48,63,3,11,2,6,0,33.52,-97.53,33.8,-97.43,26,880,0,1995/05/07 20:10:00+00,15,1995,41842.84,631.987910937352,13,26444169.0392858,May,2286841557358.54,26,114.179862886894,56.4247881977684,15.8432396465301,19.0064235474087,12.9037375852047,8.08370638617209,57.7550746891256,16.2171873090596,19.7665932518099,12.9663217231699,9.39265343753906,111.829929489714,0.04204126960522,52.4444463553592,9.53621363086184,51847.0555423408,4.31777087482941,32.0604269555897,38.7730167992185,25.8700593083746,17.4763598237112
241,1995,5,"07",1995/05/07,15:20:00,3,TX,48,64,3,6,3,8,0,33.8,-97.43,34.2,-97.17,34.1,880,0,1995/05/07 20:20:00+00,15,1995,54878.494,631.987910937352,9,34682544.778448,May,2999280657920.23,27,312.173661582057,155.147645902188,44.5455050477106,57.3819376963278,34.6106773627247,15.8749898357927,157.026015679869,46.1105819759364,60.2104118203628,35.3364287312568,18.1031291119452,275.024916781224,3.12586657845263,132.210398798075,31.3710109981606,47821.0494325999,9.00088686041413,90.656087023647,117.592349516691,69.9471060939815,33.9781189477379
258,1995,5,"07",1995/05/07,19:41:00,3,TX,48,72,2,2,0,4,0,30,-99.75,30.0001,-99.7499,2,300,0,1995/05/08 00:41:00+00,19,1995,3218.68,215.450424183188,2,693465.971309944,May,45719236732.8847,28,0.059539148636974,0.029316973456498,0.007242000144711,0.008528951818869,0.007820050481354,0.005878656911965,0.030222175180477,0.006783894673197,0.008561655978811,0.008398106684527,0.006325831943542,0.053180674551089,3.2720921456e-05,0.044236968591013,0.010786591477927,34527.457,0.0858573471521692,0.014025894817908,0.01709060779768,0.016218157165881,0.012204488855507
261,1995,5,"07",1995/05/07,20:36:00,3,TX,48,75,1,5,0,3,0,29.98,-99.75,29.9801,-99.7499,0.1,10,0,1995/05/08 01:36:00+00,20,1995,160.934,7.18168080610627,5,1155.77661884991,May,56817750.2622808,29,0.000219551363454,0.000108106710325,2.6704967107e-05,3.1450617678e-05,2.8836535032e-05,2.1677621697e-05,0.000111444653128,2.5015697388e-05,3.1571214681e-05,3.0968124591e-05,2.332658528e-05,0.000196104409861,1.20658812e-07,0.000163124381043,3.9775692468e-05,34527.457,0.189960031958833,5.1720664495e-05,6.3021832359e-05,5.9804659623e-05,4.5004206977e-05
262,1995,5,"07",1995/05/07,20:36:00,3,TX,48,76,2,2,0,4,0,30.22,-99.32,30.2201,-99.3199,2,400,0,1995/05/08 01:36:00+00,20,1995,3218.68,287.267232244251,2,924621.295079925,May,60958982310.513,30,0.30060009674768,0.147474085106357,0.036815546026194,0.044000166065037,0.033997810199284,0.032308304869926,0.153126011641323,0.034967874210955,0.045831459471895,0.038046711812675,0.034632224091714,0.284702533038378,0.00086279162452,0.152351612243701,0.041781410767033,46788.3545,0.325106179521526,0.071783420237149,0.089831625536932,0.072044522011959,0.06694052896164
263,1995,5,"07",1995/05/07,21:15:00,3,TX,48,77,1,4,0,6,0,32.83,-97.25,32.93,-97.08,10,300,0,1995/05/08 02:15:00+00,21,1995,16093.4,215.450424183188,4,3467329.85654972,May,170453250786.842,31,4008.50163638932,1981.46591563159,551.293912165062,855.556344489298,442.349142463768,125.731245885371,2027.03572075773,552.153395361735,865.995730839011,452.172989169917,163.248876015158,3634.37866222555,100.06121903178,1556.89620662012,28.4771193656956,100393.443592027,1156.07738583548,1103.4473075268,1721.55207532831,894.522131633685,288.980121900529
297,1995,5,"09",1995/05/09,16:22:00,3,IL,17,5,3,6,0,7,0,39.88,-89.73,40.22,-89.12,50,880,0,1995/05/09 21:22:00+00,16,1995,80467,631.987910937352,6,50854171.2293959,May,4397772225689.49,32,659.550373856548,344.226891307672,81.3966483464902,146.6891491561,68.8674129971072,34.5197656205594,315.323482548876,80.7963188938005,136.290250570277,68.8940756644274,42.0967526077863,608.493934837269,41.5483696905851,220.181761035259,13.1170363934862,67961.1101549034,12.9694449425085,162.192967240291,282.979399726377,137.761488661535,76.6165182283457
